,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
19,1,136,53,127,65,13,73,61,94,132,90,61995,462841,37480,90757,102402,10193,16643,57400,24269,41216,7,5,7,7,7,21,21,18,9,5,21,7,18,9,5,7,7,7,7,7
20,0,32,95,43,27,115,18,135,73,46,13,140442,42436,15594,58536,137243,29092,23487,1565471,47439,46830,7,5,7,9,5,7,7,18,9,5,21,7,18,7,7,21,5,7,7,7
21,1,100,18,43,120,115,77,128,27,65,76,117572,184342,15594,327607,48065,36040,4494,29525,63020,35336,7,7,7,7,9,7,5,7,7,5,5,5,18,9,7,21,7,18,9,7
22,1,103,133,62,65,13,20,2,57,124,50,64260,54153,15231,232036,2170057,16032,44138,10899,57618,30310,7,7,7,7,5,8,5,18,7,7,21,5,18,9,7,7,7,7,9,5
23,0,68,61,117,47,67,100,84,62,65,12,12682,15527,19846,22132,6012,106878,8094,394018,224587,94465,7,7,7,9,7,7,1,7,7,5,21,5,18,7,5,21,7,18,9,7
24,1,44,2,131,15,115,95,27,94,104,75,98858,891964,32048,64764,8763,35725,116676,31189,39445,77822,7,7,7,9,5,7,5,7,9,7,21,5,18,7,7,5,7,18,7,5
25,1,1,2,62,65,12,71,32,36,27,126,15736,8033,15231,55497,72294,26239,111789,1566,24934,626053,7,5,7,9,6,21,5,18,7,8,5,7,18,7,7,5,7,7,9,7
26,1,114,19,62,65,13,95,3,130,124,67,55438,4700,15231,55497,25622,664733,17582,54810,141909,16886,21,7,7,9,5,7,5,18,9,6,7,5,18,7,7,5,7,7,7,7
27,1,128,69,62,104,13,39,126,36,15,61,4658,82809,15231,14040,8605,107119,73184,17979,59210,9545,21,7,7,9,5,7,1,7,7,5,7,5,18,7,7,21,7,18,9,7
28,1,33,3,131,124,35,118,2,57,116,66,61698,8720,32048,389424,108042,86293,191560,52066,68195,121064,7,5,7,9,5,5,7,18,9,7,5,7,18,7,7,7,6,7,7,6
29,1,95,45,44,8,142,32,52,55,65,72,47546,4252,17038,32540,26879,488678,9628,1117,13597,28599,7,7,7,7,5,7,21,7,7,7,21,5,18,9,7,21,7,18,5,6
30,0,99,74,62,69,139,77,51,105,65,142,27150,1168,15231,86756,4630,29337,19606,2523,61580,28020,21,5,7,8,7,21,7,8,7,7,7,7,18,7,1,7,21,18,9,5
31,0,44,88,117,65,12,68,135,62,27,142,35790,2367,19846,137364,40023,34593,1281374,121502,7129,4352,21,5,7,7,5,21,7,18,7,7,7,7,18,9,7,7,5,7,9,5
32,1,20,129,26,65,115,118,88,16,15,106,12822,6641,34799,51604,25815,10804,18143,4269,135835,336064,5,7,7,7,7,5,7,18,9,7,7,5,18,9,5,7,5,7,7,5
33,0,77,53,62,65,4,102,67,71,22,115,72597,13806,15231,68573,163499,95192,387975,17758,144401,23053,7,5,7,9,6,5,7,18,9,7,21,7,18,7,7,8,1,7,7,6
34,0,1,84,62,22,16,40,6,71,123,142,8093,41938,15231,472674,16713,36607,4340,286879,117811,405593,21,21,7,9,7,7,21,7,9,5,7,7,18,7,5,21,7,18,7,7
35,0,93,61,62,27,12,29,48,131,72,11,36305,345795,15231,10932,15642,40739,10738,31083,17964,233946,7,5,7,9,6,21,1,7,9,7,21,7,18,7,7,7,7,18,7,5
36,1,94,138,62,48,35,95,30,81,8,115,84922,369785,15231,3063,24340,1205960,101524,21360,38373,174301,7,5,7,7,5,7,7,7,9,7,6,7,18,9,7,5,5,18,7,5
37,0,103,61,137,65,142,39,53,101,48,75,1383,14354,23576,53301,2675,6814,256254,14757,38548,209456,21,7,7,7,5,7,5,18,9,7,7,5,18,9,7,21,7,7,7,5
38,1,122,84,127,47,42,118,45,26,46,115,16718,67348,37480,31146,157304,891445,10527,16334,29834,9764,21,1,7,9,5,8,5,7,9,7,7,7,18,7,7,5,7,18,7,6
39,1,118,69,91,47,13,3,89,16,15,142,322535,75891,6507,171787,26126,64684,399129,2997,54277,562441,5,7,7,9,5,7,7,7,7,7,7,5,18,7,7,5,5,18,9,5
40,0,18,38,105,27,113,94,40,43,65,14,15238,487418,11990,17665,90315,86221,27274,18285,52641,47924,7,21,7,9,5,5,21,18,9,7,21,7,18,7,7,7,7,7,7,6
41,0,20,56,81,47,63,1,6,111,104,14,312874,86216,9016,125178,37615,24232,6748,74889,30449,17656,8,5,7,7,7,5,21,18,7,6,7,7,18,9,5,7,7,7,9,7
42,1,29,69,105,22,142,20,2,94,123,78,123133,28254,61308,986,790062,22707,16944,233797,13751,10628,5,7,18,9,5,7,5,7,9,7,7,21,7,7,7,8,7,18,7,5
43,1,103,84,127,47,115,131,48,71,22,4,189935,38764,37480,52235,97003,5348,5251,6191,14173,178402,21,5,7,9,7,7,21,18,9,5,7,7,18,7,6,21,7,7,7,7
44,0,33,6,57,8,141,85,129,86,48,88,373017,8967,164266,46323,38822,6433,82173,16724,25860,34009,7,7,18,7,5,21,7,18,7,5,21,21,7,9,7,7,5,7,9,7
45,0,37,139,35,48,14,32,125,62,123,13,52104,23769,45899,37798,25784,13953,1720,2486,1664,38223,5,7,18,9,5,21,7,7,9,6,8,5,7,7,7,7,21,18,7,7
